"","data_source","bibliographicCitation","type","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","taxonomicStatus","acceptedScientificName","scientificNameAuthorship","dayIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","yearIdentified","country"
"65095","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","3175969","6681","E. M. Zardini","","1988-08-25 00:00:00","1988","8","25","25 Aug 1988","In forest.","","PY","","","","Dept. Cordillera: Meseta Ybytú Silla, Serranía Tobatí.","","","-25.2","-57.1167",NA,"","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"","Serjania fuscifolia Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania fuscifolia Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"82802","gbif","","PhysicalObject","","","USF","Herb","University of South Florida Herbarium (USF)","PRESERVED_SPECIMEN","54388","9240","G. R. Cooley, R.J. Eaton, O. Lakela","","1962-10-13 00:00:00","1962","10","13","","Coral limestone. Elaphrium [Bursera], Swietenia, Dalbergi, Gouania among others.","","US","Florida","Monroe Co.","North Key Largo","North Key Largo, Ca. 3 mi. from left turn off US 1.","Ca. 3 mi. from left turn off US 1.","",NA,NA,NA,"","O. K. Lakela","1969-01-01","","Cardiospermum corindum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum corindum L.","L.",NA,NA,NA,NA,NA,NA
"79174","gbif","","","","","MNHN","P","The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","PRESERVED_SPECIMEN","P04706076","","","",NA,NA,NA,NA,"","","","","","","","","","",NA,NA,NA,"","",NA,"","Paullinia L.","Sapindaceae","Paullinia","GENUS","ACCEPTED","Paullinia L.","L.",NA,NA,NA,NA,NA,NA
"87298","gbif","http://www.tropicos.org/Specimen/167435","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","167435","Zardini 33589","Elsa M. Zardini|P. Aquino","","1992-11-18 00:00:00","1992","11","18","","","","PY","Central","","","Estero del Ypoá. Villeta - Puerto Guyrati. 8 km S of Villeta. Inundated savanna with patches of forest.","","","-25.58333","-57.55",NA,"","P. Acevedo-Rdgz. (US)","1994-01-01","","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"33802","gbif","Fernández-Nava R., B. Reyes-Toledo y M. Casales-Gómez. 2007. Computarización del Herbario ENCB, IPN. Fase IV. Base de datos de la familia Pinaceae y de distintas familias de la clase Magnoliopsida depositadas en el Herbario de la Escuela Nacional de Ciencias Biológicas, IPN. Herbario ENCB. Escuela Nacional de Ciencias Biológicas. Instituto Politécnico Nacional. Bases de datos SNIB-CONABIO, proyecto BC007. México, D. F.","Event","546","510ceb37042b747d566b512afcbba430","ENCB-IPN","ENCB","Computarización del Herbario ENCB, IPN. Fase IV. Base de datos de la familia Pinaceae y de distintas familias de la clase Magnoliopsida depositadas en el Herbario de la Escuela Nacional de Ciencias Biológicas, IPN","PRESERVED_SPECIMEN","NO DISPONIBLE","","J. A. Beltrán Magallanes","NO DISPONIBLE","1983-08-18 00:00:00","1983","8","18","","Suelo pedregoso café claro","","MX","Sinaloa","CULIACAN","","Carretera Culiacán-Mazatlán, km 5.5 cerro de microondas","","","24.77833","-107.2661",NA,"","J. A. Beltrán Magallanes",NA,"","Cardiospermum halicacabum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum halicacabum L.","L.",NA,NA,NA,NA,NA,NA
"40410","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3702406","PhysicalObject","","","US","US","US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","US00735008","48105","G. Hatschbach;","","1984-07-18 00:00:00","1984","7","18","7/18/1984","","Escandente. Fruiting","BR","Parana","","","Mun. Cerro Azul, Cab. Rib. Do Tigre.","","",NA,NA,NA,"","Ferrucci, M. S.",NA,"","Urvillea laevis Radlk.","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea laevis Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"6840","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","1341778","225","Bro. Elias","","1927-01-01 00:00:00","1927",NA,NA,"-- --- 1927","","","CO","Atlántico","","","Barranquilla.","","",NA,NA,NA,"","Somner, G. V.",NA,"","Paullinia cururu L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia cururu L.","L.",NA,NA,NA,NA,NA,NA
"88213","gbif","","","","","MNHN","P","The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","PRESERVED_SPECIMEN","P05242439","","","",NA,NA,NA,NA,"","","","","","","","","","",NA,NA,NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"895","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","1477449","6945","J. G. Jack","","1929-02-26 00:00:00","1929","2","26","26 Feb 1929","Climbing high on trees.","","CU","Santa Clara","","","Limones, Soledad, Cienfuegos.","","",NA,NA,NA,"","",NA,"","Paullinia fuscescens Kunth","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia fuscescens Kunth","Kunth",NA,NA,NA,NA,NA,NA
"5032","gbif","http://www.tropicos.org/Specimen/1002302","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","1002302","Zardini 42715","Elsa M. Zardini|Leongino Guerrero","","1995-05-27 00:00:00","1995","5","27","","","","PY","Alto Paraná","","","Estancia San Pedro. South of Estancia Río Bonito. Tall forest.","","","-25.66666","-54.8",NA,"","P. Acevedo (US)","2002-01-01","","Serjania fuscifolia Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania fuscifolia Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
